,OldIndex,IssueDate,PermitNo.,Ward,Parcel,Address,Owner,Contractor,WorkDescription,Cost,SNPNeighborhood(partial),TypeofWork(partial),TypeofStructure(partial)
1408,57587,5/21/2020,19-F-00125,1,0002-M-00070-0000-00,"1400 LOCUST ST, Pittsburgh, 15219-",MERCY HOSPITAL OF PITTSBURGH,CLISTA ELECTRIC INC,"ALTERATION OF EXISTING SYSTEM - FIRE ALARM CONTROL AND/OR ANNUNCIATOR PANELS, NEW DEVICES, CIRCUIT WIRING - RELATED TO 19-B-00946",28000.0,Bluff,ADDITION / ALTERATION,Commercial - All other uses
1411,57597,5/21/2020,FAS-2019-07757,4,0028-F-00206-0000-00,"3422 FORBES AVE, Pittsburgh, 15213-",MURWEST LLC,CLISTA ELECTRIC INC,"Wiring and New Devices for tenant fit out

AMENDMENT: TO REDUCE THE AREA OF TENANT FIT OUT FROM FLOORS 4, 5, AND 6  AS THEY ARE TO BECOME CORE AND SHELL - PORTION OF 7TH FLOOR TO REMAIN VACANT",8000.0,Central Oakland,NEW SYSTEM,Commercial - All other uses
1413,57654,5/22/2020,SSP-2019-08135,1,0002-M-00070-0000-00,"1400 LOCUST ST, Pittsburgh, 15219-",MERCY HOSPITAL OF PITTSBURGH,GRUNAU COMPANY INC,"SPRINKLER HEADS, SPRINKLER PIPING, STANDPIPE SYSTEM, SPRINKLER RISER AND FIRE DEPARTMENT CONNECTIONS FOR NEW HELIPAD ADDITION AND HELIPAD AT EXISTING HOSPITAL - RELATED TO 19-B-00946",0.0,Bluff,ADDITION / ALTERATION,Commercial - All other uses
1416,57663,5/22/2020,EP-2019-06438,22,0023-M-00012-0000-00,"320 E NORTH AVE, Pittsburgh, PA 15212-",ALLEGHENY GENERAL HOSPITAL,LIGHTHOUSE ELECTRIC CO INC,INSTALL NEW PANELS AND POWER AT VARIOUS I.T. CLOSETS,65000.0,Central Northside,ADDITION / ALTERATION,Commercial - All other uses
1417,57781,5/28/2020,BP-2020-03758,22,0008-J-00030-0000-00,"100 ART ROONEY AVE, Pittsburgh, PA 15212-",ALLEGHENY COUNTY,MASCARO CONSTRUCTION COMPANY LP,"FIT-OUT OF 2ND FLOOR OF TWO STORY ADDITION TO HEINZ FIELD; USE OF 11,049 SF AS RETAIL SALES AND SERVICE (GENERAL) FOR AUXILIARY CONCESSIONS SPACE.",196694.0,North Shore,ADDITION / ALTERATION,Commercial - All other uses
1423,57794,5/28/2020,18-B-04723,4,0052-N-00240-0000-00,"4665 FORBES AVE, Pittsburgh, 15213-",CARNEGIE MELLON UNIVERSITY,MASCARO CONSTRUCTION COMPANY LP,NEW 5-STORY BUILDING - CORE AND SHELL AND FIT-OUT EXCEPT FOR PARTIAL 1ST FLOOR TO REMAIN CORE AND SHELL - AMENDED TO EXPAND FIRST FLOOR FIT-OUT AREA AND RELOCATE REAR EGRESS FROM BASEMENT,11064047.0,North Oakland,NEW CONSTRUCTION,Commercial - All other uses
1424,57841,5/29/2020,BP-2019-06249,22,0008-J-00030-0000-00,"100 ART ROONEY AVE, Pittsburgh, PA 15212-",ALLEGHENY COUNTY,MASCARO CONSTRUCTION COMPANY LP,"CONSTRUCT 2 STORY ADDITION, 1 STORY TICKET WINDOW AND INTERIOR & EXTERIOR RENOVATIONS",5363100.0,North Shore,ADDITION / ALTERATION,Commercial - All other uses
1430,57851,6/1/2020,FAS-2019-11469,2,0001-D-00012-0000-00,"120 5TH AVE, Pittsburgh, 15222-",PGH NATIONAL BANK TRUSTEE,CLISTA ELECTRIC INC,ALTERATIONS INCLUDING INSTALLATION OF NEW DEVICES AND CIRCUIT WIRING,800.0,Central Business District,ADDITION / ALTERATION,Commercial - All other uses
1431,57938,6/3/2020,BP-2020-03485,22,0023-M-00012-0000-00,"320 E NORTH AVE, Pittsburgh, PA 15212-",ALLEGHENY GENERAL HOSPITAL,"MBM CONTRACTING, INC",CREATION OF 2-HOUR RATED CORRIDOR ON 3RD LEVEL TO MAINTAIN EXIT RATING,491000.0,Central Northside,ADDITION / ALTERATION,Commercial - All other uses
1432,57984,6/3/2020,FAS-2020-04771,1,0002-M-00310-0000-00,"1622 LOCUST ST, Pittsburgh, PA 15219-",UPMC MERCY,LIGHTHOUSE ELECTRIC CO INC,NEW VOICE ALARM SYSTEM FOR NEW HOSPITAL AND ATTACHED PARKING GARAGE.,1644217.0,Bluff,NEW SYSTEM,Commercial - All other uses
1434,57994,6/4/2020,FAS-2020-02051,2,0001-D-00012-0000-00,"120 5TH AVE, Pittsburgh, 15222-",PGH NATIONAL BANK TRUSTEE,"Hatzel & Buehler, Inc","Renovations to the 12th floor, including replacing sprinkler heads and branch piping.",50000.0,Central Business District,ADDITION / ALTERATION,Commercial - All other uses
1435,58006,6/4/2020,MP-2020-04130,1,0002-M-00310-0000-00,"1622 LOCUST ST, Pittsburgh, PA 15219-",UPMC MERCY,RUTHRAUFF SAUER LLC,"WORK AUTHORIZED UNDER GOVERNOR'S EMERGENCY ORDER - MECHANICAL INTERIOR & EXTERIOR EQUIPMENT, DUCTWORK, EXHAUST SYSTEM, HYDRONIC SYSTEM & SMOKE CONTROL SYSTEM FOR NEW CONSTRUCTION OF HOSPITAL - RELATED TO BP-2019-01219",17120339.0,Bluff,NEW CONSTRUCTION,Commercial
1437,58017,6/4/2020,EP-2020-02046,2,0001-D-00012-0000-00,"120 5TH AVE, Pittsburgh, 15222-",PGH NATIONAL BANK TRUSTEE,"Hatzel & Buehler, Inc","Renovation of the 12th floor, including lighting, receptacles, data outlets, etc.",150000.0,Central Business District,ADDITION / ALTERATION,Commercial - All other uses
1438,58023,6/4/2020,19-B-00946,1,0002-M-00070-0000-00,"1400 LOCUST ST, Pittsburgh, 15219-",MERCY HOSPITAL OF PITTSBURGH,MASCARO CONSTRUCTION COMPANY LP,"INTERIOR AND EXTERIOR RENOVATIONS TO INCLUDE  RELOCATION OF EXISTING HELIPAD, CONSTRUCT NEW ADDITION FOR HELIPAD, ELEVATOR, AND STAIRS ON ROOF OF EXISTING HOSPITAL",6718833.0,Bluff,ADDITION / ALTERATION,Commercial - All other uses
1442,58029,6/4/2020,18-D-00160,22,0023-M-00012-0000-00,"320 E NORTH AVE, Pittsburgh, PA 15212-",ALLEGHENY GENERAL HOSPITAL,Noralco Corporation,"RAZE SINGLE STORY STRUCTURE LOCATED BETWEEN NORTHWEST WING, SOUTH TOWER AND GARAGE",89524.0,Central Northside,COMPLETE DEMOLITION,Commercial - All other uses
1443,58553,6/23/2020,BP-2020-03025,22,0023-L-00020-0000-00,"1307 FEDERAL ST, Pittsburgh, 15212-",HTA-FEDERAL NORTH MOB LLC,"RYCON CONSTRUCTION, INC",INTERIOR LAB RENOVATION ON LEVEL 1,228447.0,Central Northside,ADDITION / ALTERATION,Commercial - All other uses
1444,59179,7/15/2020,BP-2019-05758,12,0171-E-00150-0000-00,"815 FREEPORT RD, Pittsburgh, 15215-",CITY OF PITTSBURGH,"AIMS GROUP, INC.","INTERIOR RENOVATION INCLUDES DEMOLITION, NEW WALLS, CEILINGS, DOORS, FINISHES, CASEWORK, MEDICAL EQUIPMENT AS WELL AS PLUMBING FIXTURES",50000.0,Lincoln-Lemington-Belmar,ADDITION / ALTERATION,Commercial - All other uses
1445,59347,7/21/2020,BP-2019-06249,22,0008-J-00030-0000-00,"100 ART ROONEY AVE, Pittsburgh, PA 15212-",ALLEGHENY COUNTY,MASCARO CONSTRUCTION COMPANY LP,"CONSTRUCT 2 STORY ADDITION, 1 STORY TICKET WINDOW AND INTERIOR & EXTERIOR RENOVATIONS",5363100.0,North Shore,ADDITION / ALTERATION,Commercial - All other uses
1450,59393,7/22/2020,BP-2020-11296,17,0014-D-00290-0000-00,"148 MONASTERY AVE, Pittsburgh, 15203-",ST PAUL MONASTERY,MASCARO CONSTRUCTION COMPANY LP,,74800.0,South Side Slopes,MINOR ALTERATION,Commercial - All other uses
1452,59425,7/23/2020,MP-2019-08356,22,0008-J-00030-0000-00,"100 ART ROONEY AVE, Pittsburgh, PA 15212-",ALLEGHENY COUNTY,LUGAILA MECHANICAL INC,"NEW HVAC SYSTEM AND MODIFICATIONS TO EXISTING HVAC SYSTEMS INCLUDING NEW EQUIPMENT AND DUCTWORK FOR TICKET BOOTH AND NEW SHELL SPACE

AMENDMENT: Adding Ductwork and GRDs (Fitout work)",125000.0,North Shore,ADDITION / ALTERATION,Commercial
1457,59446,7/23/2020,BP-2020-05342,2,0001-D-00012-0000-00,"120 5TH AVE, Pittsburgh, 15222-",PGH NATIONAL BANK TRUSTEE,MASSARO COMPANY,INTERIOR ALTERATIONS & STRUCTURAL MODIFICATIONS INCLUDING DEMOLITION OF STAIR & ESCALATOR AS WELL AS INSTALLATION OF NEW (NON-EXIT) STAIRWAY AND PLATFORM LIFT.,150000.0,Central Business District,ADDITION / ALTERATION,Commercial - All other uses
1458,59599,7/28/2020,EP-2020-09690,7,0051-R-00150-0000-00,"5230 CENTRE AVE, Pittsburgh, 15232-",SHADYSIDE HOSPITAL,FERRY ELECTRIC COMPANY,SOUTH TOWER PARKING GARAGE ELEVATOR UPGRADES,90000.0,Shadyside,ADDITION / ALTERATION,Commercial - All other uses
1463,59662,7/31/2020,EP-2019-05794,12,0171-E-00150-0000-00,"815 FREEPORT RD, Pittsburgh, 15215-",CITY OF PITTSBURGH,M&J ELECTRICAL CONTRACTING INC.,"INTERIOR RENOVATION, INCLUDES DEMOLITION, NEW WALLS, CEILINGS, FINISHES, CASEWORK, PLUMBING FIXTURES AND MEDICAL EQUIPMENT.",62000.0,Lincoln-Lemington-Belmar,ADDITION / ALTERATION,Commercial - All other uses
1464,59745,8/4/2020,MP-2020-07830,2,0001-D-00012-0000-00,"120 5TH AVE, Pittsburgh, 15222-",PGH NATIONAL BANK TRUSTEE,RUTHRAUFF SAUER LLC,INTERIOR ALTERATIONS TO HVAC SYSTEM INCLUDING NEW DUCT-MOUNTED STEAM COIL & PIPING AS WELL AS SUPPLY AIR DUCTWORK,85000.0,Central Business District,ADDITION / ALTERATION,Commercial
1465,59816,8/5/2020,EP-2019-06341,,0002-M-00310-0000-00,"1622 LOCUST ST, Pittsburgh, PA 15219-",UPMC MERCY,LIGHTHOUSE ELECTRIC CO INC,"HEALTH CARE FACILITY WORK AUTHORIZED UNDER GOVERNOR'S EMERGENCY ORDER - NEW CONSTRUCTION OF ELECTRICAL SERVICE, SERVICE EQUIPMENT, INTERIOR & EXTERIOR EQUIPMENT, PANELBOARDS, BRANCH CIRCUITS & WIRING, LIGHTING, POWER DEVICES, SIGN ELECTRIC WORK & COMMUNICATION ANTENNA SYSTEM FOR NEW HOSPITAL RELATED TO BP-2019-01219 - INSPECTION BY PLI DURING GOVERNOR'S EMERGENCY ORDER - AMENDED TO RELOCATE FIREPUMP TRANSFORMERS TO BE DOWNSTREAM OF TRANSFER SWITCH",86000.0,,NEW CONSTRUCTION,Commercial - All other uses
1467,59834,8/6/2020,SSP-2020-12316,22,0023-M-00012-0000-00,"320 E NORTH AVE, Pittsburgh, PA 15212-",ALLEGHENY GENERAL HOSPITAL,Preferred Fire Protection,,7400.0,Central Northside,MINOR ALTERATION,Commercial - All other uses
1468,59934,8/11/2020,EP-2020-02302,1,0002-J-00300-000A-00,"500 1ST AVE, Pittsburgh, 15219-",BUNCHER FAMILY FOUNDATION (THE),"Hatzel & Buehler, Inc","ALTERATIONS TO ELECTRICAL SYSTEM TO PROVIDE NEW POWER, LIGHTING & SECURITY FOR NEW ENTRY DOORS",69621.0,Central Business District,ADDITION / ALTERATION,Commercial - All other uses
1469,59951,8/11/2020,SSP-2020-04316,1,0002-J-00300-000A-00,"500 1ST AVE, Pittsburgh, 15219-",BUNCHER FAMILY FOUNDATION (THE),Preferred Fire Protection,INSTALLATION OF SPRINKLER HEADS IN NEW VESTIBULES,5164.0,Central Business District,ADDITION / ALTERATION,Commercial - All other uses
1470,59974,8/11/2020,BP-2020-02099,1,0002-J-00300-000A-00,"500 1ST AVE, Pittsburgh, 15219-",BUNCHER FAMILY FOUNDATION (THE),MASCARO CONSTRUCTION COMPANY LP,REPLACEMENT OF REVOLVING DOORS WITH NEW REVOLVING DOORS EQUIPPED WITH CARD READERS AS WELL AS  NEW GLAZED VESTIBULE ENCLOSURES IN ADDITION TO REPLACEMENT OF EXISTING SWINGING DOORS WITH AUTOMATIC OPERATED ACCESSIBLE DOORS.,651112.0,Central Business District,ADDITION / ALTERATION,Commercial - All other uses
1471,60023,8/13/2020,SSP-2020-09970,7,0051-R-00150-0000-00,"5230 CENTRE AVE, Pittsburgh, PA 15232-",SHADYSIDE HOSPITAL,Preferred Fire Protection,NEW WET PIPE SPRINKLER SYSTEM...RELATED 17-B-02995.,47182.0,Shadyside,ADDITION / ALTERATION,Commercial - All other uses
1477,60104,8/17/2020,SSP-2020-12393,22,0008-J-00030-0000-00,"100 ART ROONEY AVE, Pittsburgh, PA 15212-",ALLEGHENY COUNTY,"ABEL FIRE PROTECTION, INC.",,5500.0,North Shore,MINOR ALTERATION,Commercial - All other uses
1480,60229,8/20/2020,EP-2020-12168,22,0008-J-00030-0000-00,"100 ART ROONEY AVE, Pittsburgh, PA 15212-",ALLEGHENY COUNTY,LUGAILA MECHANICAL INC,"FIT-OUT OF 2ND FLOOR OF TWO STORY ADDITION TO HEINZ FIELD; USE OF 11,049 SF AS RETAIL SALES AND SERVICE (GENERAL) FOR AUXILIARY CONCESSIONS SPACE.",36000.0,North Shore,MINOR ALTERATION,Commercial - All other uses
1483,60265,8/21/2020,SSP-2020-12389,22,0008-J-00030-0000-00,"100 ART ROONEY AVE, Pittsburgh, PA 15212-",ALLEGHENY COUNTY,"ABEL FIRE PROTECTION, INC.",,6250.0,North Shore,MINOR ALTERATION,Commercial - All other uses
1486,60319,8/25/2020,MP-2020-03756,4,0028-F-00206-0000-00,"3422 FORBES AVE, Pittsburgh, 15213-",MURWEST LLC,RENICK BROTHERS CONSTRUCTION CO,MECHANICAL SYSTEM FOR OFFICE IN 4TH THROUGH 7TH FLOORS OF 8 STORY STRUCTURE,138500.0,Central Oakland,ADDITION / ALTERATION,Commercial
1488,60322,8/25/2020,FAS-2020-12010,22,0023-L-00020-0000-00,"1307 FEDERAL ST, Pittsburgh, 15212-",HTA-FEDERAL NORTH MOB LLC,PRECISION ELECTRICAL CONTRACTORS INC,FIRE ALARM ALTERATIONS ASSOCIATED WITH INTERIOR LAB RENOVATION ON LEVEL 1...RELATED BP-2020-03025,5000.0,Central Northside,ADDITION / ALTERATION,Commercial - All other uses
1489,60333,8/25/2020,EP-2020-10434,22,0023-L-00020-0000-00,"1307 FEDERAL ST, Pittsburgh, 15212-",HTA-FEDERAL NORTH MOB LLC,PRECISION ELECTRICAL CONTRACTORS INC,ELECTRICAL ALTERATIONS ASSOCIATED WITH INTERIOR LAB RENOVATION ON LEVEL 1...RELATED BP-2020-03025,275000.0,Central Northside,ADDITION / ALTERATION,Commercial - All other uses
1490,60370,8/25/2020,BP-2020-02710,4,0028-F-00206-0000-00,"3422 FORBES AVE, Pittsburgh, 15213-",MURWEST LLC,MASCARO CONSTRUCTION COMPANY LP,FIRST TENANT FIT OUT OF 4TH THROUGH 6TH AND PARTIAL 7TH FLOOR AS OFFICE IN 8 STORY STRUCTURE,80000.0,Central Oakland,NEW CONSTRUCTION,Commercial - All other uses
1492,60372,8/26/2020,EP-2020-02271,7,0084-F-00164-0000-00,"6000 CENTRE AVE, Pittsburgh, 15206-",STEVENSON BUILDING LP,"Hatzel & Buehler, Inc",RELOCATE LIGHTING FIXTURES,5000.0,Shadyside,ADDITION / ALTERATION,Commercial - All other uses
1493,60378,8/26/2020,FAS-2020-04780,4,0028-F-00206-0000-00,"3422 FORBES AVE, Pittsburgh, 15213-",MURWEST LLC,CLISTA ELECTRIC INC,FIRE ALARM SYSTEM FOR OFFICES ON 4TH THROUGH 7TH FLOORS OF 8 STORY STRUCTURE,8200.0,Central Oakland,ADDITION / ALTERATION,Commercial - All other uses
1495,60380,8/26/2020,EP-2020-03747,4,0028-F-00206-0000-00,"3422 FORBES AVE, Pittsburgh, 15213-",MURWEST LLC,CLISTA ELECTRIC INC,ELECTRICAL SYSTEM FOR TENANT FIT OUT ON 4TH THROUGH 7TH FLOORS OF AN 8 STORY STRUCTURE,150000.0,Central Oakland,ADDITION / ALTERATION,Commercial - All other uses
1497,60388,8/26/2020,BP-2019-11234,7,0084-F-00164-0000-00,"6000 CENTRE AVE, Pittsburgh, 15206-",STEVENSON BUILDING LP,MASCARO CONSTRUCTION COMPANY LP,REMOVE AND CONSTRUCT INTERIOR WALL TO EXPAND PRIVATE OFFICE ON THIRD FLOOR OF EXISTING 3 STORY STRUCTURE,30000.0,Shadyside,ADDITION / ALTERATION,Commercial - All other uses
1498,60466,8/27/2020,BP-2020-12660,22,0023-M-00012-0000-00,"320 E NORTH AVE, Pittsburgh, PA 15212-",ALLEGHENY GENERAL HOSPITAL,FENNICK GROUP INC DBA STRONGLAND ROOFING SYSTEMS,,377700.0,Central Northside,MINOR ALTERATION,Commercial - All other uses
1500,60547,8/28/2020,BP-2020-03915,27,0075-E-00002-0000-00,"3300 PREBLE AVE, Pittsburgh, PA 15233",ALLEGHENY COUNTY SANITARY AUTHORITY,MASCARO CONSTRUCTION COMPANY LP,"CONSTRUCTION OF NEW PUMP, CHEMICAL, AND TREATMENT BUILDINGS, TANKS, AND PIPE GALLERIES AND EXTEND AND REPAIR EXISTING RIVER WALL",79143996.0,Brighton Heights;Marshall-Shadeland,NEW CONSTRUCTION,Commercial - All other uses
1501,60647,9/1/2020,BP-2020-06105,7,0051-R-00150-0000-00,"5230 CENTRE AVE, Pittsburgh, PA 15232-",SHADYSIDE HOSPITAL,MASCARO CONSTRUCTION COMPANY LP,Phase -2 Interior Renovation including Nourishment relocation and Supply Rooms on 7th Floor and duct work on roof,119935.5,Shadyside,ADDITION / ALTERATION,Commercial - All other uses
1507,60648,9/1/2020,BP-2020-03019,7,0051-R-00150-0000-00,"5230 CENTRE AVE, Pittsburgh, PA 15232-",SHADYSIDE HOSPITAL,MASCARO CONSTRUCTION COMPANY LP,INTERIOR  ALTERATIONS AT 7TH FLOOR AND ROOF OF A MULTI-STORY HOSPITAL STRUCTURE,79957.0,Shadyside,ADDITION / ALTERATION,Commercial - All other uses
1513,60678,9/2/2020,MP-2020-03411,7,0051-R-00150-0000-00,"5230 CENTRE AVE, Pittsburgh, PA 15232-",SHADYSIDE HOSPITAL,MCKAMISH INC,DUCTWORK AT 7TH FLOOR AND ROOF OF A MULTI-STORY HOSPITAL STRUCTURE - RELATED TO BP-2020-03019,180000.0,Shadyside,ADDITION / ALTERATION,Commercial
1519,60686,9/2/2020,MP-2020-11275,22,0023-M-00012-0000-00,"320 E NORTH AVE, Pittsburgh, PA 15212-",ALLEGHENY GENERAL HOSPITAL,MCKAMISH INC,INSTALLATION OF NEW SUPPLY AND AND RELIEF AIR SYSTEM FOR NEWLY CREATED RATED CORRIDOR WITH FAN COIL UNITS TIED INTO EXISTING HYDRONIC SYSTEM,255000.0,Central Northside,ADDITION / ALTERATION,Commercial
1521,60698,9/2/2020,OOP-2020-12275,22,0008-J-00030-0000-00,"100 ART ROONEY AVE, Pittsburgh, PA 15212-",ALLEGHENY COUNTY,,,0.0,North Shore,TEMPORARY USE,Commercial - All other uses
1524,60702,9/2/2020,MP-2020-06111,7,0051-R-00150-0000-00,"5230 CENTRE AVE, Pittsburgh, PA 15232-",SHADYSIDE HOSPITAL,MCKAMISH INC,Phase -2 Interior Renovation including Nourishment relocation and Supply Rooms on 7th Floor and duct work on roof,270000.0,Shadyside,ADDITION / ALTERATION,Commercial
1530,60708,9/2/2020,EP-2020-03414,7,0051-R-00150-0000-00,"5230 CENTRE AVE, Pittsburgh, PA 15232-",SHADYSIDE HOSPITAL,M&J ELECTRICAL CONTRACTING INC.,"DISTRIBUTION EQUIPMENT, POWER AND LIGHTING AT 7TH FLOOR OF A MULTI-STORY HOSPITAL STRUCTURE - RELATED TO BP-2020-03019",20000.0,Shadyside,ADDITION / ALTERATION,Commercial - All other uses
1536,60710,9/2/2020,EP-2020-06107,7,0051-R-00150-0000-00,"5230 CENTRE AVE, Pittsburgh, PA 15232-",SHADYSIDE HOSPITAL,M&J ELECTRICAL CONTRACTING INC.,"Phase -2: Interior renovations to 7th Floor, Exterior Roof",30000.0,Shadyside,ADDITION / ALTERATION,Commercial - All other uses
1542,60727,9/3/2020,MP-2020-10955,22,0023-L-00020-0000-00,"1307 FEDERAL ST, Pittsburgh, 15212-",HTA-FEDERAL NORTH MOB LLC,RUTHRAUFF SAUER LLC,H.V.A.C. ALTERATIONS ASSOCIATED WITH INTERIOR LAB RENOVATION ON LEVEL 1...RELATED BP-2020-03025,1450000.0,Central Northside,ADDITION / ALTERATION,Commercial
1543,60732,9/3/2020,EP-2020-07825,2,0001-D-00012-0000-00,"120 5TH AVE, Pittsburgh, 15222-",PGH NATIONAL BANK TRUSTEE,CLISTA ELECTRIC INC,INTERIOR ALTERATIONS & STRUCTURAL MODIFICATIONS INCLUDING DEMOLITION OF STAIR & ESCALATOR AS WELL AS INSTALLATION OF NEW (NON-EXIT) STAIRWAY AND PLATFORM LIFT.,30000.0,Central Business District,ADDITION / ALTERATION,Commercial - All other uses
1544,60772,9/4/2020,FAS-2020-10858,7,0051-R-00150-0000-00,"5230 CENTRE AVE, Pittsburgh, PA 15232-",SHADYSIDE HOSPITAL,FERRY ELECTRIC COMPANY,REPLACEMENT & UPGRADE OF FIRE ALARM SYSTEM RELATED TO EXISTING ELEVATORS,6278.0,Shadyside,NEW SYSTEM,Commercial - All other uses
1550,60816,9/8/2020,MP-2020-07830,2,0001-D-00012-0000-00,"120 5TH AVE, Pittsburgh, 15222-",PGH NATIONAL BANK TRUSTEE,RUTHRAUFF SAUER LLC,INTERIOR ALTERATIONS TO HVAC SYSTEM INCLUDING NEW DUCT-MOUNTED STEAM COIL & PIPING AS WELL AS SUPPLY AIR DUCTWORK,85000.0,Central Business District,ADDITION / ALTERATION,Commercial
1551,60986,9/14/2020,SSP-2020-14395,22,0023-L-00020-0000-00,"1307 FEDERAL ST, Pittsburgh, 15212-",HTA-FEDERAL NORTH MOB LLC,Preferred Fire Protection,,18573.0,Central Northside,MINOR ALTERATION,Commercial - All other uses
1552,61042,9/15/2020,SSP-2020-12658,12,0171-E-00150-0000-00,"815 FREEPORT RD, Pittsburgh, 15215-",CITY OF PITTSBURGH,FIRE FIGHTER SALES & SERVICE CO,RELOCATION OF SEVEN SPRINKLER HEADS,3633.0,Lincoln-Lemington-Belmar,ADDITION / ALTERATION,Commercial - All other uses
1553,61070,9/16/2020,18-B-03965,12,0171-E-00150-0000-00,"815 FREEPORT RD, Pittsburgh, 15215-",CITY OF PITTSBURGH,MASCARO CONTRACTING LP,INTERIOR RENOVATIONS  LEVEL 1  (7700 SF)  FOR STERILE PROCESSING DEPARTMENT AT A COMMERCIAL STRUCTURE,684469.0,Lincoln-Lemington-Belmar,ADDITION / ALTERATION,Commercial - All other uses
1554,61098,9/16/2020,FAS-2020-12541,22,0008-J-00030-0000-00,"100 ART ROONEY AVE, Pittsburgh, PA 15212-",ALLEGHENY COUNTY,LUGAILA MECHANICAL INC,"NEW DEVICES FOR ""FLAGSHIP STORE"" ON 1ST FLOOR.",18000.0,North Shore,ADDITION / ALTERATION,Commercial - All other uses
1557,61125,9/17/2020,SSP-2020-14562,1,0002-M-00070-0000-00,"1400 LOCUST ST, Pittsburgh, 15219-",MERCY HOSPITAL OF PITTSBURGH,GRUNAU COMPANY INC,INSTALL NEW FOAM CHEMICAL SUPPRESSION SYSTEM FOR HELIPAD AT EXISTING HOSPITAL - RELATED TO 19-B-00946 AND SSP-2019-08135,14500.0,Bluff,ADDITION / ALTERATION,Commercial - All other uses
1560,61126,9/17/2020,PLI-LO-2019-06632,5;4,0027-P-00080-0000-03,"3943 OHARA ST, Pittsburgh, 15213-",UNIVERSITY OF PITTSBURGH,MASCARO CONSTRUCTION COMPANY LP,"GRADING; REMOVAL OF VEGETATION, TREES AND/OR GROUND COVER; INSTALLATION OF IMPERMEABLE OR SEMI-PERMEABLE SURFACING",5500000.0,North Oakland;West Oakland;Terrace Village,,
1561,61204,9/18/2020,FAS-2020-14931,12,0171-E-00150-0000-00,"815 FREEPORT RD, Pittsburgh, 15215-",CITY OF PITTSBURGH,M&J ELECTRICAL CONTRACTING INC.,,3000.0,Lincoln-Lemington-Belmar,MINOR ALTERATION,Commercial - All other uses
1562,61235,9/22/2020,MP-2020-12539,22,0008-J-00030-0000-00,"100 ART ROONEY AVE, Pittsburgh, PA 15212-",ALLEGHENY COUNTY,LUGAILA MECHANICAL INC,NEW DUCTWORK ON 2ND FLOOR OF TWO STORY ADDITION TO HEINZ FIELD AS RETAIL SALES AND SERVICE (GENERAL) FOR AUXILIARY CONCESSIONS SPACE.,230000.0,North Shore,ADDITION / ALTERATION,Commercial
1565,61334,9/23/2020,FAS-2020-11665,7,0051-R-00150-0000-00,"5230 CENTRE AVE, Pittsburgh, PA 15232-",SHADYSIDE HOSPITAL,FERRY ELECTRIC COMPANY,INSTALL NEW FIRE ALARM DEVICES AND WIRING FOR REPAIRS TO EXISTING PARKING GARAGE - RELATED TO BP-2019-02257,6162.0,Shadyside,ADDITION / ALTERATION,Commercial - All other uses
1571,61470,9/28/2020,18-S-00541,12,0171-E-00150-0000-00,"815 FREEPORT RD, Pittsburgh, 15215-",CITY OF PITTSBURGH,FIRE FIGHTER SALES & SERVICE CO,RELATED 18-B-03965,6590.0,Lincoln-Lemington-Belmar,ADDITION / ALTERATION,Commercial - All other uses
1572,61514,9/29/2020,BP-2020-10733,1,0002-M-00070-0000-00,"1400 LOCUST ST, Pittsburgh, 15219-",MERCY HOSPITAL OF PITTSBURGH,MASCARO CONSTRUCTION COMPANY LP,"UPGRADES TO EXISTING ELEVATORS INCLUDES DEMOLITION, REPLACEMENT AND REFURBISHMENT.",300000.0,Bluff,ADDITION / ALTERATION,Commercial - All other uses
1575,61522,9/29/2020,DP-2020-12676,27,0075-E-00002-0000-00,"3300 PREBLE AVE, Pittsburgh, PA 15233",ALLEGHENY COUNTY SANITARY AUTHORITY,NEUMEYER ENVIRONMENTAL SERVICES INC,DEMOLITION OF SODIUM HYPOCHLORITE BUILDING AND ABANDONED OFFICE TRAILER AT ALCOSAN FACILITY,178325.0,Brighton Heights;Marshall-Shadeland,COMPLETE DEMOLITION,Commercial - All other uses
1576,61549,9/30/2020,FAS-2020-13666,22,0023-M-00012-0000-00,"320 E NORTH AVE, Pittsburgh, PA 15212-",ALLEGHENY GENERAL HOSPITAL,FALLON ELECTRIC CO INC,MODIFICATION TO EXISTING VOICE/ALARM SYSTEM AS PART OF CORRIDOR ALTERATION,12000.0,Central Northside,ADDITION / ALTERATION,Commercial - All other uses
1578,61555,9/30/2020,FAS-2020-12173,22,0008-J-00030-0000-00,"100 ART ROONEY AVE, Pittsburgh, PA 15212-",ALLEGHENY COUNTY,LUGAILA MECHANICAL INC,,8500.0,North Shore,MINOR ALTERATION,Commercial - All other uses
1581,61569,9/30/2020,EP-2020-11625,22,0023-M-00012-0000-00,"320 E NORTH AVE, Pittsburgh, PA 15212-",ALLEGHENY GENERAL HOSPITAL,FALLON ELECTRIC CO INC,INSTALLATION OF NEW LIGHTS POWER AND FEEDER ASSOCIATED REFINISH OF 3RD FLOOR CORRIDOR,65000.0,Central Northside,ADDITION / ALTERATION,Commercial - All other uses
